time[sec],input,output
17.75567,5,334.854507
17.80569,5,335.8467197
17.85573,1,336.8887018
17.90576,1,337.91231
17.95577,1,338.8600376
18.00578,5,339.7475305
18.05578,1,340.6428982
18.10581,5,341.5487309
18.15582,1,342.4676194
18.20582,1,343.3734521
18.25585,1,344.2347652
18.30585,1,345.014948
18.35587,5,345.7453615
18.40588,5,346.5072045
18.4559,1,347.3999472
18.50591,1,348.2821906
18.55592,1,349.1042339
18.60593,1,349.8556119
18.65596,1,350.5546299
18.70598,5,351.1881638
18.75601,1,351.8845571
18.80603,1,352.6280604
18.85604,1,353.3139886
18.90606,1,353.931842
18.95608,1,354.4920859
19.00608,1,355.0104348
19.05611,5,355.4738336
19.10613,5,356.0236123
19.15614,5,356.7618659
19.20616,5,357.6101234
19.25618,5,358.5578166
19.30621,5,359.5657442
19.35624,5,360.6077264
19.40626,1,361.6889442
19.45629,5,362.7361418
19.50631,1,363.7649996
19.55631,5,364.788642
19.60635,1,365.7991946
19.6564,5,366.7966571
19.7064,1,367.7914948
19.75641,1,368.7653679
19.80644,5,369.6764503
19.85644,5,370.5979636
19.90645,1,371.5849611
19.95647,1,372.5693336
20.00648,5,373.4725415
20.05649,5,374.3862145
20.10652,5,375.3732118
20.15652,1,376.4020698
20.20656,5,377.428337
20.25658,5,378.4467298
20.30662,5,379.4886776
20.35662,1,380.5751451
20.40662,5,381.6380576
20.45665,1,382.6669154
20.50666,1,383.6958076
20.55668,5,384.6565907
20.60675,1,385.6121585
20.65678,5,386.5677262
20.7068,5,387.510204
20.75684,1,388.5260063
20.80684,1,389.5286841
20.85686,1,390.458072
20.90686,5,391.3350999
20.95688,5,392.1990379
21.0069,1,393.1572306
21.05692,5,394.1101734
21.10696,5,395.0631164
21.15696,5,396.0789186
21.20696,5,397.1365813
21.25699,1,398.2230488
21.30701,5,399.2833363
21.35704,5,400.3226935
21.40704,1,401.4012864
21.45706,5,402.4563585
21.50708,1,403.503556
21.55709,5,404.5297891
21.60711,5,405.5403417
21.65713,1,406.5953794
21.70714,5,407.6268964
21.75715,5,408.6505046
21.80719,1,409.7160419
21.85722,1,410.7553991
21.90722,5,411.7318972
21.95723,1,412.6927146
22.00723,1,413.6587475
22.05723,5,414.5488654
22.10724,1,415.4494485
22.15724,1,416.370996
22.20726,1,417.2008794
22.25728,5,417.9836528
22.30729,5,418.7743007
22.35729,5,419.6853488
22.40733,1,420.6566313
22.45734,1,421.6331637
22.50736,1,422.5415869
22.55738,1,423.36888
22.60738,5,424.1411882
22.65739,1,424.9318359
22.70742,5,425.7590946
22.75745,5,426.5942621
22.80745,5,427.534115
22.85745,5,428.5341681
22.90747,5,429.5787751
22.95749,1,430.6495278
23.00751,1,431.6862601
23.05752,5,432.6601333
23.10755,1,433.631416
23.15759,5,434.5922333
23.20761,1,435.5634817
23.25763,5,436.5242992
23.30763,5,437.479867
23.35766,5,438.5035094
23.40767,1,439.5507069
23.4577,1,440.5979045
23.50771,5,441.569187
23.55774,5,442.5247548
23.60777,1,443.5378978
23.65777,5,444.5458255
23.70778,1,445.5380384
23.75778,1,446.5302854
23.8078,1,447.4544237
